word,size,WordPair,PU.AROU,PU.CNC,PU.FAM,PU.GEND,PU.IMAG,PU.SIZE,PU.VAL,GN.AROU,GN.CNC,GN.FAM,GN.GEND,GN.IMAG,GN.SIZE,GN.VAL
MOLECULE,Small,36,2.351851852,3.222222222,4.518518519,3.240740741,3.703703704,1.592592593,4.222222222,3.4783,5.4118,4.6364,4.5,4.3913,1.971,5.2899
MONSTER,Large,26,3.517241379,2.310344828,4.103448276,4.293103448,4,5.413793103,1.724137931,6.1212,3.8182,5.5161,5.3333,5.9706,5.4412,2.7353
MOOSE,Large,20,3,5.865384615,5.673076923,4.115384615,6.096153846,6.038461538,4.826923077,3.8125,6.5806,4.2813,4.4194,6.25,4.1563,5.5313
MOSQUITO,Small,39,2.785714286,5.714285714,6.178571429,3.357142857,6.392857143,1.767857143,1.642857143,4.625,6.5806,4.8772,4.2203,6.623,1.5846,3.0455
MOTORWAY,Large,35,3.2,5.433333333,5.016666667,4.25,5.366666667,6,4.416666667,5,6.6071,6,5.52,6.2333,5.697,4.8333
MOUNTAIN,Large,34,3.37037037,5.759259259,5.981481481,3.648148148,6.351851852,6.814814815,5.314814815,5.8,6.84,6.2083,5.0741,6.8148,6.2857,6.1563
NECK,Small,6,4.163636364,5.927272727,6.163636364,2.763636364,6.309090909,3.381818182,4.636363636,5.4286,6.6154,6.56,3.52,6.5862,2.8667,5.3929
NEEDLE,Small,22,2.894736842,5.912280702,5.947368421,2.649122807,6.315789474,1.912280702,2.596491228,4.8286,6.7143,5.6061,3.2857,6.4118,2,3.6765
NOSE,Small,8,3.075471698,6.037735849,6.396226415,2.943396226,6.169811321,2.622641509,4.132075472,3.5714,6.76,6.3333,3.963,6.7917,2.4,5.0333
OCEAN,Large,14,4.456140351,5.315789474,5.701754386,2.719298246,6.175438596,6.578947368,5.526315789,5.5806,6.5714,6,3.6538,6.381,6.6774,6.5667
PARASITE,Small,38,2.517857143,4.25,4.928571429,3.571428571,4.089285714,1.75,1.607142857,4.5882,5.6,4.5556,4.4848,5.2727,2.7576,2.303
PARK,Large,5,3.228070175,5.403508772,6.456140351,2.719298246,6.473684211,5.614035088,5.98245614,4.5161,5.9615,6.1667,3.6923,6.1786,5.3871,6.6875
PARSLEY,Small,32,2.785714286,5.339285714,5.017857143,2.339285714,5.178571429,2.25,4.625,3.2581,6.7097,5.6897,3.5313,6.4688,2.4194,5.4848
PEACH,Small,17,3.842105263,5.736842105,6.052631579,1.736842105,6.438596491,2.403508772,5.245614035,4.2647,6.7273,6.0968,2.4118,6.7879,2.4118,6.1212
PEANUT,Small,25,2.480769231,5.634615385,6.173076923,3.134615385,6.384615385,2.076923077,4.903846154,3.3429,6.875,5.871,4.4118,6.7097,1.8485,5.1515
PHONE,Small,12,3.784313725,5.803921569,6.37254902,2.862745098,6.529411765,2.980392157,4.901960784,4.4516,6.6522,6.875,3.7826,6.6897,2.8387,5.3793
PIN,Small,4,2.714285714,5.535714286,5.607142857,3,5.892857143,1.892857143,3.946428571,2.9375,6.2813,5.6,3.5152,6.2121,1.5313,4.7576
PLANET,Large,21,3.744680851,4.85106383,5.659574468,3.021276596,5.744680851,6.574468085,4.765957447,5.5143,6,6.1071,4.2424,6.1818,6.5,6.4118
RING,Small,7,4.392857143,5.821428571,5.857142857,1.910714286,6.5,2.125,5.642857143,5.4,6.2593,6.0909,2.4815,6.0741,2.5484,6.4839
RIVER,Large,11,3.944444444,5.277777778,6.092592593,2.685185185,6.166666667,5.666666667,5.240740741,4.7059,6.6667,6.2258,3.5455,6.6452,5.303,6.2424
ROBIN,Small,15,2.735849057,5.358490566,5.283018868,2.528301887,5.396226415,2.547169811,4.849056604,5.2353,6.7879,4.9375,3.3429,6.6471,2.2059,5.7879
ROCKET,Large,24,3.423076923,5.365384615,5.192307692,4,5.826923077,6.173076923,4.769230769,6.4375,6.5,5.2143,5.7188,6.5938,5.8182,5.7813
ROSE,Small,5,4.547169811,5.471698113,5.981132075,1.132075472,6.188679245,2.811320755,5.886792453,6.4516,6.6364,5.75,1.8824,6.7857,2.7879,7.1176
SANDWICH,Small,37,3.12,5.98,6.42,3.02,6.34,3.26,5.72,4.7097,6.6667,6.7241,4.3438,6.7647,2.4848,5.9714
SAUSAGE,Small,29,3.607142857,5.785714286,6.107142857,4.357142857,6.232142857,3.392857143,4.392857143,4.4063,6.5484,6.3571,5.375,6.4667,2.5625,5.7813
SHORE,Large,15,4.344827586,4.517241379,5.827586207,2.362068966,5.827586207,5.689655172,5.603448276,4.8824,5.9394,5.1563,3.5,6.303,5.3529,6.3235
SKYSCRAPER,Large,43,3.211538462,5.865384615,5.923076923,3.769230769,6.173076923,6.538461538,4.807692308,4.6176,6.5,5.6875,4.9706,6.6,6.2424,5.0571
SNAIL,Small,19,2.450980392,5.764705882,5.588235294,3.098039216,5.921568627,2.176470588,4.058823529,2.5484,6.68,5.0435,4.4643,6.7917,1.7097,4.6452
STADIUM,Large,27,3.981132075,5.716981132,5.981132075,4.188679245,6.283018868,6.41509434,5.396226415,4.2647,6.3235,5.7576,5.5152,6.5714,5.8235,5.8788
SUBMARINE,Large,42,3.450980392,5.196078431,4.725490196,3.921568627,5.509803922,5.803921569,4.392156863,4.5152,6.6923,3.8077,5.5,6.5758,5.4839,5.129
SUPERMARKET,Large,44,2.913793103,5.551724138,6.068965517,2.465517241,6.206896552,5.896551724,4.931034483,4.1212,6.2571,6.3636,3.3548,6.6,5.4412,5.4857
TANK,Large,9,2.881355932,5.661016949,5.118644068,4.694915254,5.881355932,6.118644068,3.372881356,4.4706,6.3824,5.2759,5.7429,6.4706,5.3939,4
TAPE,Small,9,2.458333333,5.895833333,6.395833333,3.208333333,6.395833333,2.354166667,4.625,3.1818,5.9118,5.5333,4.1935,5.9706,2.4138,5.0938
TEASPOON,Small,40,2.305084746,5.593220339,6.033898305,2.06779661,5.966101695,1.830508475,4.796610169,3.129,6.6857,6.0667,3.1515,6.6061,2.0294,5.3529
THUMB,Small,16,2.275862069,6.051724138,6.396551724,3.448275862,6.344827586,2.534482759,4.465517241,3.6875,6.5313,6.1,4.6765,6.7273,2.4706,5.2059
TRACTOR,Large,29,2.407407407,6.074074074,5.648148148,4.796296296,6.259259259,5.648148148,4.37037037,3.3824,6.5758,5.4242,5.8438,6.6875,4.7879,5.3333
TRAIN,Large,12,2.593220339,5.881355932,6.118644068,4.322033898,6.491525424,6.338983051,4.86440678,3.8906,6.6825,6.4107,4.7193,6.6885,5.1471,5.803
TREE,Large,6,3.545454545,5.909090909,6.381818182,3.054545455,6.218181818,5.818181818,5.872727273,4.4667,6.92,6.5,3.9167,6.6667,5.4138,6.9
TRUCK,Large,16,2.779661017,5.711864407,6.169491525,4.745762712,6.322033898,5.508474576,4.372881356,3.6765,6.6552,5.8966,5.75,6.6552,5.2121,4.7059
TULIP,Small,20,4.196428571,5.875,6.017857143,1.035714286,6.428571429,2.410714286,6.035714286,4.1515,6.3714,4.9688,2.0882,6.6471,2.303,6.9429
VIDEO,Small,13,4,3.767857143,6.107142857,3.285714286,5.446428571,3.321428571,5.017857143,5.7813,5.6667,6.48,4.3704,5.5484,3.2581,5.8387
VITAMIN,Small,28,2.654545455,5.090909091,5.8,2.818181818,5.818181818,2.127272727,5.581818182,4.6129,5.6765,6.0385,3.1176,5.0968,2.4545,6.5455
VOLCANO,Large,30,3.203703704,5.685185185,5.259259259,3.833333333,5.888888889,6.314814815,3.037037037,7.5625,6.9231,5.1429,5.0385,6.76,5.931,3.9677
WALRUS,Large,25,2.736842105,5.736842105,5.403508772,3.666666667,6.052631579,5.736842105,4.368421053,4.0313,6.5455,4.3667,5.2188,6.7742,4.875,5.6471
WARDROBE,Large,37,3.35,5.333333333,5.616666667,2.183333333,6.216666667,5.016666667,4.966666667,3.625,6.6857,5.6452,2.8788,6.6176,4.2647,5.25
WHALE,Large,17,3.035087719,5.561403509,5.543859649,3.140350877,6.01754386,6.614035088,5.105263158,4.2059,6.7059,5.3226,4.4412,6.7097,6.2813,5.8286
